account,date,daily_pnl,avg_trade_size,buy_ratio,num_trades,target_win,past_3day_pnl,classification_Extreme Greed,classification_Fear,classification_Greed,classification_Neutral,risk_segment,freq_segment,consistency
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,5089.718248587571,0.0,177,0,,True,False,False,False,High,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,7976.664411764705,0.0,68,0,,True,False,False,False,High,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,23734.5,0.0,40,0,,True,False,False,False,High,Infrequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,28186.666666666668,1.0,12,0,0.0,True,False,False,False,High,Infrequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,17248.14814814815,0.4444444444444444,27,1,-7075.666666666667,True,False,False,False,High,Infrequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,16058.536341463414,1.0,82,0,-6541.3,True,False,False,False,High,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,48561.68565217392,0.0,23,0,-50631.63333333333,True,False,False,False,High,Infrequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,36736.36242424243,1.0,33,0,-43555.96666666667,False,False,True,False,High,Infrequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,11410.954021505377,0.24086021505376345,465,1,-102627.333352,True,False,False,False,High,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,9400.588039215687,0.5490196078431373,51,1,-34739.011986000005,True,False,False,False,High,Infrequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,185847.0,0.9,10,1,-21332.811986666675,False,False,True,False,High,Infrequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,23593.019856972587,0.4171632896305125,839,1,62774.188032,False,True,False,False,High,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,10576.687156308852,0.20903954802259886,531,1,72646.76188733334,False,False,True,False,High,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,26585.06338095238,0.37142857142857144,210,1,184447.31863566666,False,False,False,True,High,Frequent,Inconsistent
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,10161.056241134751,0.9361702127659575,141,1,173677.620569,False,False,False,True,High,Frequent,Inconsistent
